iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,061,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","944,221,627.50","0.13","944,221,627.50","8,783,457.00","107.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","935,964,087.90","0.13","935,964,087.90","2,685,385.00","348.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","935,196,752.75","0.13","935,196,752.75","2,887,925.00","323.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","932,689,547.64","0.13","932,689,547.64","8,150,031.00","114.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","924,607,976.55","0.13","924,607,976.55","14,796,095.00","62.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","920,309,215.98","0.13","920,309,215.98","1,268,797.00","725.34","United States","NASDAQ","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","910,125,237.73","0.13","910,125,237.73","2,804,441.00","324.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","906,304,757.67","0.13","906,304,757.67","3,324,547.00","272.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","903,360,252.24","0.13","903,360,252.24","1,921,389.00","470.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","899,915,287.43","0.13","899,915,287.43","15,208,979.00","59.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","898,913,944.10","0.13","898,913,944.10","16,115,345.00","55.78","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","889,997,974.88","0.13","889,997,974.88","19,381,489.00","45.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","888,431,183.25","0.13","888,431,183.25","7,009,319.00","126.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","884,604,155.34","0.13","884,604,155.34","2,304,737.00","383.82","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","883,227,751.28","0.13","883,227,751.28","4,904,641.00","180.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","873,256,447.68","0.12","873,256,447.68","2,414,712.00","361.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
